"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TLX1NB",1.82159793279281,3.77203363942695,1.14442031096063,3.29602122865217,0.000980646048079167,0.00384398701671671
"DIO1",153.752099162586,3.76919408479147,0.652139657474705,5.77973451175627,7.48185968030446e-09,1.16205471724703e-07
"EXO1",355.352816894082,3.76141009716491,0.446703551392191,8.42037204638769,3.75290597009667e-17,3.94899936862076e-15
"KRT31",16.8036730686902,3.74147748735787,0.724608213507215,5.16344890606269,2.42440779579833e-07,2.59033319966901e-06
"ASPM",745.804616054744,3.73578568853244,0.46767638166706,7.98797167224056,1.37176960655794e-15,9.86497154633248e-14
"FOXM1",1551.27227173743,3.73152907662421,0.390263892238774,9.56155347915496,1.16002192621896e-21,4.27222014554609e-19
"FAM83D",417.811147841044,3.73103863338515,0.40809530081795,9.14256700801745,6.09871591664066e-20,1.42539892101716e-17
"GLDC",198.504487261,3.72679188573515,0.601631876074772,6.19447212479808,5.84806889852013e-10,1.16802802560665e-08
"LINC00466",6.50366640125051,3.71868803029953,0.624821545027788,5.9516001967156,2.65533379967838e-09,4.60693780647983e-08
"LOC124901067",1.22876859124059,3.71386775542231,1.08894909259156,3.41050631355392,0.000648423828521314,0.00266913429294963
"RIMS4",552.28686122704,3.70810925941268,0.588329155302484,6.30278004411695,2.9235364755513e-10,6.24999130265835e-09
"PLK1",724.166245361134,3.70569680159538,0.36592766523903,10.1268560800801,4.19934643582225e-24,3.00216217104504e-21
"MCM10",372.071122816338,3.70110171148389,0.418247544468108,8.84906979236576,8.82517729562253e-19,1.43968848674293e-16
"PLPPR5",4.84199776213309,3.69117229658318,0.716379591953883,5.15253692042752,2.56986001847999e-07,2.73013931246474e-06
"TNNT1",263.980084734982,3.68478198578459,0.697336510036251,5.28408011448166,1.26337958156778e-07,1.4383591329821e-06
"ZEB2P1",1.68776381338777,3.68466057592423,1.40003376749537,2.63183693241628,0.00849246130917783,0.0241547223311708
"LINC00355",2.66205614107554,3.68165847584638,1.19805006786191,3.07304224974239,0.00211888486220413,0.00740315284542127
"NDC80",411.896879584276,3.67996408725323,0.407952589686462,9.02056802747967,1.87116529816051e-19,3.81726745346949e-17
"LINC01644",15.1535844504799,3.67332658020995,0.861297192572089,4.26487699238901,2.00012363040787e-05,0.000128480457411004
"CSAG1",1.50326934378435,3.67028658616171,1.01572942741768,3.61344910080313,0.000302150691149033,0.00137782748523608
"FOXJ1",74.995690492717,3.66763577669213,0.791873328178732,4.63159402669554,3.62861137784483e-06,2.85808997930247e-05
"NSG2",5.73711835750712,3.6662183749684,0.745059251335984,4.92070713623704,8.62320828232876e-07,7.99711269433671e-06
"KCNF1",157.758232201503,3.6633959997198,0.623735685427837,5.87331474742699,4.27166334535809e-09,6.99200814381273e-08
"BIRC5",979.027159579005,3.66284880454828,0.462473543290796,7.92012615140049,2.37269728600688e-15,1.58442727832333e-13
"DEPDC1",340.128238911618,3.65733929502135,0.405479495172804,9.01978851843715,1.88452747939416e-19,3.81726745346949e-17
"OR2B6",6.36768533466858,3.65265720295879,0.62891995793854,5.80782523571264,6.32895274381152e-09,1.00350850843983e-07
"LRTM2",10.3806353223179,3.65132736682442,0.812130752144827,4.49598461476961,6.92487437164934e-06,5.07614541274642e-05
"LOC101059915",2.30186645716162,3.64978084530608,1.22782279436825,2.97256319238151,0.0029532441013724,0.00984293217771271
"NMU",26.120128590427,3.64700633918597,0.64457960072938,5.65796115027402,1.53181797290029e-08,2.2037083051086e-07
"FOXD3-AS1",28.1161869601159,3.63128975688725,0.611896993099173,5.93447883849743,2.94780347284574e-09,5.04238275963838e-08
