"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FHL1",12082.8743384754,-4.09284031903319,0.526455864978774,-7.77432751974035,7.58492604938529e-15,4.44257343331104e-13
"PI16",1387.30413012715,-4.07582551316889,0.576377966189728,-7.07144573917878,1.5332775816988e-12,5.42494587748949e-11
"PLAC9",823.991520972903,-4.07022308458775,0.522686009688831,-7.78712842727674,6.85492666400323e-15,4.1141408005414e-13
"RPS5P5",6.32301992510055,-4.06997450104749,0.724821851007393,-5.6151376995476,1.96405772819881e-08,2.75016271424972e-07
"SLC4A4",275.63994491317,-4.0663477649707,0.511899180878709,-7.94364968115507,1.96317539321523e-15,1.33908554963044e-13
"FXYD1",10.3843390119418,-4.0618567991145,0.525890004974134,-7.72377638041302,1.12932894573406e-14,6.41369128129854e-13
"MIR126",1.91917903045759,-4.05975277095761,0.817424951705559,-4.9665143723432,6.81670033988309e-07,6.48100647269903e-06
"GPIHBP1",730.668764049188,-4.0584421899825,0.480685128244943,-8.44303672302181,3.09197909848211e-17,3.28195353479496e-15
"GMNC",2.29991333324809,-4.0541170305224,0.908028574121911,-4.46474609506957,8.01637600038774e-06,5.7803041068355e-05
"IGFBP6",1703.70348407122,-4.05390937908004,0.421554430136841,-9.61657401575426,6.80603162859015e-22,2.75723684660234e-19
"NTF4",38.3027727434125,-4.05333759600573,0.473022600792136,-8.56901465007782,1.04374258199681e-17,1.28782999698459e-15
"KY",128.24768764363,-4.04032386426298,0.466958903597181,-8.65241851721568,5.04193541806869e-18,6.88507439365143e-16
"LINC00842",11.7573470419932,-4.03810744051252,0.505719484217501,-7.98487613495983,1.40663477223351e-15,9.96824239320115e-14
"GLRA3",186.481390180114,-4.03270488227119,0.77062070697754,-5.23306062990172,1.66726020833122e-07,1.84545054116151e-06
"TNMD",175.674462597931,-4.0253637806999,0.61541806252699,-6.54086063735473,6.11658098549428e-11,1.48675734014409e-09
"CHRNA2",16.1260349354177,-4.0189367955162,0.920926787835727,-4.36401334894505,1.27697779771952e-05,8.67752287647986e-05
"NEUROG2",21.0160047281048,-4.01836236629551,0.60506355916743,-6.64122356306633,3.11089759683978e-11,8.13763825238024e-10
"GLP2R",46.9074961613318,-4.01322040662104,0.60670197108255,-6.6148135293844,3.72020386553193e-11,9.56899421793488e-10
"CHRDL1",4132.41539648749,-4.00886209140891,0.547108152349271,-7.32736676321664,2.34718828663442e-13,9.90505307000397e-12
"UGT2B11",363.050981218217,-3.99874118486599,0.957010232480841,-4.1783682651962,2.9360797731905e-05,0.000180265953642186
"AKAIN1",2.01753079855964,-3.9727832934361,0.935253649897399,-4.24781372825643,2.15866755655426e-05,0.000137646202248595
"GPX3",12580.1749328786,-3.96553791916392,0.459422475632227,-8.63157143913522,6.05147478257513e-18,7.98755645903824e-16
"HPSE2",147.393845701341,-3.96149395887529,0.408856478136885,-9.68920433137659,3.35129239177509e-22,1.45464043155138e-19
"LOC105377267",110.587126423106,-3.95492141427368,0.891797258367344,-4.43477637676768,9.21679101204606e-06,6.53727864399777e-05
"CLDN5",1537.16853339304,-3.95104204425594,0.470731080920923,-8.39341654799223,4.72214875480076e-17,4.84309155202287e-15
"PDK4",10013.0089030688,-3.94982043148302,0.486877702018609,-8.11255149929221,4.9567753038483e-16,3.92457124790361e-14
"COL17A1",4472.61469556397,-3.94381837476627,0.525576383761999,-7.50379677742938,6.19953940996043e-14,2.94896681874576e-12
"LOC124908055",1.55035153772437,-3.93533494999395,1.02830722340953,-3.82700311775083,0.000129712872526967,0.000661824263751679
"FOSB",10630.0034443191,-3.93107072762964,0.511821676369737,-7.68054756006438,1.58410021176889e-14,8.75107360169691e-13
"NGF-AS1",11.1226971019818,-3.92854455595147,0.669154662684754,-5.87090664539276,4.33418290476921e-09,7.08003923832159e-08
"LINC02242",2.58182353980531,-3.92810142473486,0.779612625480788,-5.03852977279888,4.69121454268897e-07,4.65996534079039e-06
"KIAA0408",7.72180305652391,-3.92810008313667,0.695188505976332,-5.65040999580393,1.60065599116539e-08,2.28731012211976e-07
"LINC00968",67.8540939789828,-3.9253280354959,0.517311776607702,-7.58793480642648,3.25044371619084e-14,1.66333758756738e-12
"LOC102724768",11.4597192646067,-3.92212921621482,0.515108343747069,-7.61418304289919,2.65364514524839e-14,1.39917901400331e-12
"CD36",23612.6892504176,-3.91970629900127,0.569901475966275,-6.87786655115317,6.07555420778699e-12,1.87886127390176e-10
"MIR145",30.0160086314263,-3.90477615550533,0.460669572723406,-8.4763057660199,2.32457322598074e-17,2.5800639910463e-15
"TNXB",2957.97881960957,-3.90131818847691,0.40764625205361,-9.57035215906717,1.06542144496014e-21,3.98418447117633e-19
"NMUR1",109.567576848685,-3.89795556316741,0.507062889994746,-7.68732171113487,1.50247001591233e-14,8.35710267203226e-13
"CLCA2",583.063497695967,-3.89452612860064,0.551999072798547,-7.05531280850893,1.72212872295086e-12,6.03166900126318e-11
